2020-08-19/16:22:19		[Errno 2] No such file or directory: 'schema_training.json'
2020-08-19/16:24:32		NumberofColumns:: 10

2020-08-19/16:36:53		NumberofColumns:: 8

2020-08-19/16:40:50		NumberofColumns:: 8

2020-08-19/16:43:02		NumberofColumns:: 8

2020-08-19/16:52:06		NumberofColumns:: 8

2020-08-19/17:13:23		NumberofColumns:: 8

2020-08-19/17:18:45		NumberofColumns:: 8

2020-08-19/17:21:09		NumberofColumns:: 8

2020-08-19/17:27:30		NumberofColumns:: 8

2020-08-19/17:41:48		NumberofColumns:: 8

2020-08-19/17:48:02		NumberofColumns:: 8

2020-08-19/17:54:40		NumberofColumns:: 8

2020-08-19/17:56:49		NumberofColumns:: 8

2020-08-19/21:08:50		NumberofColumns:: 8

2020-08-19/21:15:51		NumberofColumns:: 8

2020-08-27/19:02:36		NumberofColumns:: 8

2020-08-27/19:06:39		NumberofColumns:: 8

2020-08-27/19:09:43		NumberofColumns:: 8

2020-08-27/19:29:42		NumberofColumns:: 8

2020-08-28/07:54:13		NumberofColumns:: 8

2020-08-28/07:58:12		NumberofColumns:: 8

2020-08-28/08:02:23		NumberofColumns:: 8

2020-08-28/08:04:41		NumberofColumns:: 8

2020-08-28/08:08:26		NumberofColumns:: 8

2020-08-28/08:09:13		NumberofColumns:: 8

2020-08-28/08:12:49		NumberofColumns:: 8

2020-08-28/08:16:04		NumberofColumns:: 8

2020-08-28/08:25:48		NumberofColumns:: 8

2020-08-28/22:04:22		NumberofColumns:: 8

2020-08-28/22:06:36		NumberofColumns:: 8

2020-08-28/22:07:43		NumberofColumns:: 8

2020-08-28/22:08:06		NumberofColumns:: 8

2020-08-28/22:18:23		NumberofColumns:: 8

2020-08-28/22:20:48		NumberofColumns:: 8

2020-08-29/07:51:58		NumberofColumns:: 8

2020-08-29/07:52:14		NumberofColumns:: 8

2020-08-29/07:53:12		NumberofColumns:: 8

2020-08-29/07:55:46		NumberofColumns:: 8

2020-08-29/07:56:30		NumberofColumns:: 8

2020-08-29/08:56:47		NumberofColumns:: 8

2020-08-29/08:57:15		NumberofColumns:: 8

2020-08-31/18:49:06		NumberofColumns:: 8

2020-08-31/19:24:51		NumberofColumns:: 8

2020-08-31/19:25:17		NumberofColumns:: 8

2020-08-31/19:35:13		NumberofColumns:: 8

